stimuli,category,correct_response,columna izquierda,columna derecha,grupo,stimuli_color
Niña,Femenino,e,Femenino,Masculino,0,#008000
Femenino,Femenino,e,Femenino,Masculino,0,#008000
Tía,Femenino,e,Femenino,Masculino,0,#008000
Hija,Femenino,e,Femenino,Masculino,0,#008000
Esposa,Femenino,e,Femenino,Masculino,0,#008000
Mujer,Femenino,e,Femenino,Masculino,0,#008000
Madre,Femenino,e,Femenino,Masculino,0,#008000
Abuela,Femenino,e,Femenino,Masculino,0,#008000
Hombre,Masculino,i,Femenino,Masculino,0,#008000
Niño,Masculino,i,Femenino,Masculino,0,#008000
Padre,Masculino,i,Femenino,Masculino,0,#008000
Masculino,Masculino,i,Femenino,Masculino,0,#008000
Abuelo,Masculino,i,Femenino,Masculino,0,#008000
Esposo,Masculino,i,Femenino,Masculino,0,#008000
Hijo,Masculino,i,Femenino,Masculino,0,#008000
Tío,Masculino,i,Femenino,Masculino,0,#008000
Niña,Femenino,i,Masculino,Femenino,1,#008000
Femenino,Femenino,i,Masculino,Femenino,1,#008000
Tía,Femenino,i,Masculino,Femenino,1,#008000
Hija,Femenino,i,Masculino,Femenino,1,#008000
Esposa,Femenino,i,Masculino,Femenino,1,#008000
Mujer,Femenino,i,Masculino,Femenino,1,#008000
Madre,Femenino,i,Masculino,Femenino,1,#008000
Abuela,Femenino,i,Masculino,Femenino,1,#008000
Hombre,Masculino,e,Masculino,Femenino,1,#008000
Niño,Masculino,e,Masculino,Femenino,1,#008000
Padre,Masculino,e,Masculino,Femenino,1,#008000
Masculino,Masculino,e,Masculino,Femenino,1,#008000
Abuelo,Masculino,e,Masculino,Femenino,1,#008000
Esposo,Masculino,e,Masculino,Femenino,1,#008000
Hijo,Masculino,e,Masculino,Femenino,1,#008000
Tío,Masculino,e,Masculino,Femenino,1,#008000
Niña,Femenino,e,Femenino,Masculino,2,#008000
Femenino,Femenino,e,Femenino,Masculino,2,#008000
Tía,Femenino,e,Femenino,Masculino,2,#008000
Hija,Femenino,e,Femenino,Masculino,2,#008000
Esposa,Femenino,e,Femenino,Masculino,2,#008000
Mujer,Femenino,e,Femenino,Masculino,2,#008000
Madre,Femenino,e,Femenino,Masculino,2,#008000
Abuela,Femenino,e,Femenino,Masculino,2,#008000
Hombre,Masculino,i,Femenino,Masculino,2,#008000
Niño,Masculino,i,Femenino,Masculino,2,#008000
Padre,Masculino,i,Femenino,Masculino,2,#008000
Masculino,Masculino,i,Femenino,Masculino,2,#008000
Abuelo,Masculino,i,Femenino,Masculino,2,#008000
Esposo,Masculino,i,Femenino,Masculino,2,#008000
Hijo,Masculino,i,Femenino,Masculino,2,#008000
Tío,Masculino,i,Femenino,Masculino,2,#008000
Niña,Femenino,i,Masculino,Femenino,4,#008000
Femenino,Femenino,i,Masculino,Femenino,4,#008000
Tía,Femenino,i,Masculino,Femenino,4,#008000
Hija,Femenino,i,Masculino,Femenino,4,#008000
Esposa,Femenino,i,Masculino,Femenino,4,#008000
Mujer,Femenino,i,Masculino,Femenino,4,#008000
Madre,Femenino,i,Masculino,Femenino,4,#008000
Abuela,Femenino,i,Masculino,Femenino,4,#008000
Hombre,Masculino,e,Masculino,Femenino,4,#008000
Niño,Masculino,e,Masculino,Femenino,4,#008000
Padre,Masculino,e,Masculino,Femenino,4,#008000
Masculino,Masculino,e,Masculino,Femenino,4,#008000
Abuelo,Masculino,e,Masculino,Femenino,4,#008000
Esposo,Masculino,e,Masculino,Femenino,4,#008000
Hijo,Masculino,e,Masculino,Femenino,4,#008000
Tío,Masculino,e,Masculino,Femenino,4,#008000
